1,,
Time (s),Intensity (a.u.),
36.58124924,51.96276093,
36.59375,52.5436821,
36.60625076,50.3033371,
36.61875153,47.73964691,
36.63125229,50.33179092,
36.64374924,50.71895599,
36.65625,48.89466858,
36.66875076,49.82115173,
36.68125153,50.05133438,
36.69375229,49.51381683,
36.70624924,49.16143799,
36.71875,50.60394287,
36.73125076,51.70461655,
36.74375153,50.83870697,
36.75625229,48.48561859,
36.76874924,50.91701889,
36.78125,50.42124176,
36.79375076,50.20597076,
36.80625153,49.83303452,
36.81875229,48.48250961,
36.83124924,48.17876434,
36.84375,48.50793457,
36.85625076,49.00696564,
36.86875153,55.11009216,
36.88125229,47.60686111,
36.89374924,50.73859787,
36.90625,51.00502396,
36.91875076,52.04414368,
36.93125153,47.82382202,
36.94375229,50.26696396,
36.95624924,51.14073181,
36.96875,50.35158157,
36.98125076,50.74896622,
36.99375153,49.14256668,
37.00625229,50.18106461,
37.01874924,51.12266922,
37.03125,50.7135582,
37.04375076,50.7117424,
37.05625153,48.52619553,
37.06875229,52.37253571,
37.08124924,51.76736069,
37.09375,54.69556046,
37.10625076,50.0574646,
37.11875153,50.91049194,
37.13125229,48.42766953,
37.14374924,50.86228561,
37.15625,52.55179596,
37.16875076,45.87622452,
37.18125153,48.98324585,
37.19375229,49.80891418,
37.20624924,53.44373322,
37.21875,50.61349487,
37.23125076,48.07947159,
37.24375153,50.01292419,
37.25625229,50.19747925,
37.26874924,52.23974609,
37.28125,47.51366806,
37.29375076,53.35192108,
37.30625153,51.56723785,
37.31875229,50.15197372,
37.33124924,51.96451187,
37.34375,52.27529144,
37.35625076,50.02545929,
37.36875153,51.57593155,
37.38125229,52.40065384,
37.39374924,52.45022964,
37.40625,49.29936218,
37.41875076,51.58475494,
37.43125153,51.39635468,
37.44375229,52.48443222,
37.45624924,46.93644333,
37.46875,49.15944672,
37.48125076,48.58351517,
37.49375153,49.02704239,
37.50625229,49.69573975,
37.51874924,50.26522064,
37.53125,50.48592758,
37.54375076,51.82389832,
37.55625153,46.8095932,
37.56875229,51.65157318,
37.58124924,52.65161133,
37.59375,50.83884048,
37.60625076,51.54376221,
37.61875153,50.51780701,
37.63125229,51.76114273,
37.64374924,50.42668915,
37.65625,50.60056305,
37.66875076,50.49712372,
37.68125153,47.03502274,
37.69375229,52.14412689,
37.70624924,51.97638702,
37.71875,49.41669846,
37.73125076,50.75163651,
37.74375153,49.85261917,
37.75625229,52.29018021,
37.76874924,53.29432678,
37.78125,49.68009186,
37.79375076,48.65557098,
37.80625153,50.69301987,
37.81875229,49.409935,
37.83124924,48.04339218,
37.84375,48.0646019,
37.85625076,48.50031662,
37.86875153,53.6063652,
37.88125229,51.28536224,
37.89374924,50.56108856,
37.90625,50.92118835,
37.91875076,46.92158127,
37.93125153,51.01781464,
37.94375229,49.66844177,
37.95624924,49.35031128,
37.96875,47.36774445,
37.98125076,51.10321808,
37.99375153,49.52405548,
38.00625229,49.38428497,
38.01874924,52.22814178,
38.03125,52.617836,
38.04375076,51.89519501,
38.05625153,53.37620544,
38.06875229,46.76165771,
38.08124924,52.32110596,
38.09375,47.4383316,
38.10625076,48.94743347,
38.11875153,51.89775467,
38.13125229,51.67094803,
38.14374924,50.76786423,
38.15625,50.01909256,
38.16875076,50.56890106,
38.18125153,49.47681427,
38.19375229,50.33470535,
38.20624924,53.35346603,
38.21875,48.48946381,
38.23125076,52.1492157,
38.24375153,50.94243622,
38.25625229,50.52395248,
38.26874924,47.59487152,
38.28125,52.14605713,
38.29375076,56.20005035,
38.30625153,50.00652695,
38.31875229,48.35337067,
38.33124924,49.03495026,
38.34375,53.1306839,
38.35625076,51.8680191,
38.36875153,52.36420441,
38.38125229,50,
38.39374924,52.27987289,
38.40625,51.0825882,
38.41875076,48.49824142,
38.43125153,52.46113968,
38.44375229,49.91550827,
38.45624924,50.06321335,
38.46875,47.84070206,
38.48125076,53.7954216,
38.49375153,51.13268661,
38.50625229,50.7723465,
38.51874924,49.85791779,
38.53125,49.72734451,
38.54375076,49.23315048,
38.55625153,53.94669342,
38.56875229,50.14711761,
38.58124924,49.82023621,
38.59375,52.75994873,
38.60625076,49.40352631,
38.61875153,48.49110031,
38.63125229,51.36853027,
38.64374924,47.78554535,
38.65625,48.77726364,
38.66875076,49.95423126,
38.68125153,50.90311813,
38.69375229,50.64287567,
38.70624924,49.28478622,
38.71875,51.43153381,
38.73125076,49.05312729,
38.74375153,49.24584198,
38.75625229,48.8113327,
38.76874924,49.52282715,
38.78125,53.49316788,
38.79375076,52.34587097,
38.80625153,50.62324905,
38.81875229,51.36294556,
38.83124924,48.30421448,
38.84375,50.18755722,
38.85625076,52.62477493,
38.86875153,53.21390915,
38.88125229,51.47246933,
38.89374924,50.71419144,
38.90625,49.50242615,
38.91875076,49.56952667,
38.93125153,50.6395874,
38.94375229,50.87810135,
38.95624924,48.72153854,
38.96875,48.46442795,
38.98125076,46.99568176,
38.99375153,49.08926392,
39.00625229,49.87787628,
39.01874924,48.72389984,
39.03125,49.66717911,
39.04375076,50.82154846,
39.05625153,51.19498444,
39.06875229,49.62485123,
39.08124924,50.66946411,
39.09375,51.12839508,
39.10625076,53.07910156,
39.11875153,50.57501602,
39.13125229,50.95134735,
39.14374924,48.78357697,
39.15625,49.94810867,
39.16875076,52.25317764,
39.18125153,53.52112579,
39.19375229,50.23184204,
39.20624924,46.90406418,
39.21875,52.00976181,
39.23125076,51.59235764,
39.24375153,50.97837448,
39.25625229,47.71599579,
39.26874924,49.29936218,
39.28125,52.05655289,
39.29375076,49.36659241,
39.30625153,50.97335815,
39.31875229,50.70173264,
39.33124924,51.90445328,
39.34375,48.41640472,
39.35625076,51.91641998,
39.36875153,53.08196259,
39.38125229,54.87646103,
39.39374924,50.1754837,
39.40625,50.82773209,
39.41875076,51.19672394,
39.43125153,53.12778854,
39.44375229,50.88037109,
